map_id,lap_time,gamemode,location,track
speedway2_classic_arena,0,derby,Big Valley Speedway,Open Demolition Arena
speedway2_demolition_arena,0,derby,Big Valley Speedway,Demolition arena
triangle_r2,0,derby,Dirt Devil Stadium,Demolition Arena
smallstadium_demolition_arena,0,derby,Fairfield County,Demolition Arena
mudpit_demolition_arena,0,derby,Fairfield Mudpit,Demolition Arena
grass_arena_demolition_arena,0,derby,Fairfield Grass Arena,Demolition Arena
field_derby_arena,0,derby,Glendale Countryside,Field Arena
bigstadium_demolition_arena,0,derby,Madman Stadium,Demolition Arena
fields10_2,0,derby,Mudford Motorpark,Mud Pit
fields11_1,0,derby,The Maw,Demolition Arena
urban07,0,derby,Thunderbowl,Demolition Arena
crm01_3,0,derby,Bleak City,Demolition Arena
