map_id,lap_time,gamemode,location,track
speedway2_classic_arena,0,team derby,Big Valley Speedway,Open Demolition Arena
speedway2_demolition_arena,0,team derby,Big Valley Speedway,Demolition arena
triangle_r2,0,team derby,Dirt Devil Stadium,Demolition Arena
smallstadium_demolition_arena,0,team derby,Fairfield County,Demolition Arena
mudpit_demolition_arena,0,team derby,Fairfield Mudpit,Demolition Arena
grass_arena_demolition_arena,0,team derby,Fairfield Grass Arena,Demolition Arena
field_derby_arena,0,team derby,Glendale Countryside,Field Arena
bigstadium_demolition_arena,0,team derby,Madman Stadium,Demolition Arena
fields10_2,0,team derby,Mudford Motorpark,Mud Pit
fields11_1,0,team derby,The Maw,Demolition Arena
urban07,0,team derby,Thunderbowl,Demolition Arena
crm01_3,0,team derby,Bleak City,Demolition Arena
