map_id,lap_time,gamemode,location,track
speedway2_figure_8,25,racing,Big Valley Speedway,Figure 8
speedway2_oval_loop,55,racing,Big Valley Speedway,Outer Oval Loop
dirt_speedway_figure_8,20,racing,Bloomfield Speedway,Figure 8
bonebreaker_valley_main_circuit,30,racing,Bonebreaker Valley,Main Circuit
crash_canyon_main_circuit,35,racing,Crash Canyon,Main Circuit
loop,45,racing,Deathloop,Main Circuit
fields13_1,60,racing,Eagles Peak Motorpark,Racing Track
fields13_1_rev,60,racing,Eagles Peak Motorpark,Racing Track Reverse
urban06,25,racing,Hellride,Main Circuit
speedway1_figure_8,30,racing,Hilltop Stadium,Figure 8
fields12_2,20,racing,Kingston Raceway,Figure 8
bigstadium_figure_8,25,racing,Madman Stadium,Figure 8
urban09_1,25,racing,Wrecknado,Racing Track
