map_id,lap_time,gamemode,location,track
melody_01,105,racing,Melody Raceway,Route 1
melody_02,105,racing,Melody Raceway,Route 1 Reverse
melody_03,60,racing,Melody Raceway,Route 2
melody_04,55,racing,Melody Raceway,Route 2 Reverse
melody_07,105,racing,Melody Raceway,Route 4
melody_08,105,racing,Melody Raceway,Route 4 Reverse
melody_11,40,racing,Melody Raceway,Route 6
melody_12,40,racing,Melody Raceway,Route 6 Reverse
melody_11,65,racing,Melody Raceway,Route 7
melody_12,65,racing,Melody Raceway,Route 7 Reverse
