map_id,lap_time,gamemode,location,track
asan_main,45,racing,Asan,Main
asan_reverse,45,racing,Asan,Reverse
asan_rain,45,racing,Asan,Rain
asan_rain_evening,45,racing,Asan,Rain Evening
city_s01,60,racing,Downpour City,S01
city_s01_reverse,60,racing,Downpour City,S01 Reverse
coyote_rallycross,35,racing,Coyote Park,Rallycross
coyote_rallycross_reverse,35,racing,Coyote Park,Rallycross Reverse
gardemoen,35,racing,Gardemoen,Gardemoen
gardemoen_open,35,racing,Gardemoen,Gardemoen Open
gardemoen_rallycross,35,racing,Gardemoen,Gardemoen Rallycross
gardemoen_rallycross_reverse,35,racing,Gardemoen,Gardemoen Rallycross Reverse
gardemoen_reverse,35,racing,Gardemoen,Gardemoen Reverse
laanke_open,40,racing,Laankebanen,Laankebanen Open
laanke_rallycross,45,racing,Laankebanen,Laankebanen
laanke_rallycross_reverse,45,racing,Laankebanen,Laankebanen Reverse
laanke_short,40,racing,Laankebanen,Laankebanen Short
laanke_short_reverse,40,racing,Laankebanen,Laankebanen Short Reverse
laanke_tarmac,40,racing,Laankebanen,Laankebanen Tarmac
laanke_tarmac_reverse,40,racing,Laankebanen,Laankebanen Tarmac Reverse
laguna_main,105,racing,Laguna,Main
laguna_reverse,105,racing,Laguna,Reverse
lofoten_chicane,40,racing,NMK Lofoten,Chicane
lofoten_chicane_reverse,40,racing,NMK Lofoten,Chicane Reverse
lofoten_main,35,racing,NMK Lofoten,Main
lofoten_reverse,35,racing,NMK Lofoten,Reverse
palmer_main,105,racing,Palmer Motorsports Park,Main
palmer_reverse,105,racing,Palmer Motorsports Park,Reverse
stangnas_01,40,racing,Stangnas,Main
stangnas_02,25,racing,Stangnas,More Technical
stangnas_03,40,racing,Stangnas,Most Technical
stangnas_04,40,racing,Stangnas,Main with Chicane
tomelilla_01,50,racing,Tomelilla,Tomelilla 01
tomelilla_02,40,racing,Tomelilla,Tomelilla 02
tomelilla_03,40,racing,Tomelilla,Tomelilla 03
tomelilla_04,30,racing,Tomelilla,Tomelilla 04
tomelilla_05,40,racing,Tomelilla,Tomelilla 05 Rain
trophy_trucks_ghr,50,racing,Trophy Truck Tracks,Glen Helen Raceway
trophy_trucks_primm,55,racing,Trophy Truck Tracks,Primm Raceway
trophy_trucks_primm_reverse,55,racing,Trophy Truck Tracks,Primm Raceway Reverse
whp,40,racing,Wild Horse Pass,Wild Horse Pass
whp_reverse,40,racing,Wild Horse Pass,Reverse
whp_wet,40,racing,Wild Horse Pass,Wet
